epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1297.94,1.04866,1.72953,1.14779,0.93166,0.80574,0.89726,0.92201,0.80393,0.80574,0.89726,0.92097,0.68951,0.55842,0.99051,0.73309,0.81175,0.000291087,0.000291087,0.000291087
63,1318.54,1.05664,1.77621,1.18201,0.92726,0.74506,0.82963,0.85451,0.74211,0.74258,0.833,0.85475,0.64185,0.56438,1.00011,0.81076,0.81155,0.000289023,0.000289023,0.000289023
64,1339.43,1.03333,1.72797,1.16082,0.92794,0.78663,0.87657,0.90924,0.78593,0.78663,0.87657,0.90924,0.68476,0.57675,0.99749,0.75763,0.81341,0.000286959,0.000286959,0.000286959
65,1360.22,1.0138,1.70597,1.11977,0.9262,0.81553,0.89243,0.91141,0.79399,0.81553,0.89243,0.91141,0.68415,0.55823,0.98931,0.74422,0.81355,0.000284894,0.000284894,0.000284894
66,1380.85,1.04102,1.68772,1.10596,0.92855,0.85965,0.87129,0.93345,0.78429,0.85468,0.8665,0.92801,0.67786,0.62869,0.97447,0.72542,0.8154,0.00028283,0.00028283,0.00028283
67,1402.07,1.01441,1.67166,1.09969,0.92264,0.85416,0.87722,0.92605,0.79335,0.85099,0.86933,0.92071,0.68626,0.58096,0.999,0.74982,0.81067,0.000280766,0.000280766,0.000280766
68,1422.61,1.01658,1.65622,1.10308,0.92173,0.82197,0.86966,0.92162,0.79727,0.84299,0.85158,0.91803,0.69247,0.5629,0.96151,0.71195,0.81152,0.000278702,0.000278702,0.000278702
69,1443.47,0.98993,1.64787,1.08124,0.91282,0.81694,0.85103,0.91703,0.79286,0.81489,0.84914,0.91209,0.69823,0.59254,0.97264,0.75311,0.81352,0.000276638,0.000276638,0.000276638
70,1464.34,1.00952,1.66003,1.10857,0.92317,0.86543,0.88911,0.94204,0.81017,0.86431,0.88669,0.93688,0.70672,0.56623,0.97792,0.70035,0.8113,0.000274574,0.000274574,0.000274574
71,1485.01,0.99303,1.65278,1.08392,0.91841,0.82582,0.8484,0.90646,0.78863,0.8277,0.84713,0.9024,0.67734,0.56834,0.94769,0.76129,0.81207,0.000272509,0.000272509,0.000272509
72,1505.48,1.00876,1.65494,1.093,0.92484,0.83218,0.9198,0.9395,0.80533,0.84967,0.89818,0.93521,0.7238,0.6251,0.9603,0.6957,0.8184,0.000270445,0.000270445,0.000270445
73,1525.8,1.00576,1.611,1.07077,0.92036,0.87411,0.91911,0.9568,0.82416,0.87251,0.91722,0.95398,0.68431,0.56765,1.05587,0.67642,0.81023,0.000268381,0.000268381,0.000268381
74,1546.84,1.00476,1.66882,1.08117,0.91664,0.81812,0.90729,0.93086,0.81595,0.81491,0.90751,0.92701,0.67959,0.53494,0.95844,0.7181,0.80701,0.000266317,0.000266317,0.000266317
